SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamID
2,2021,HOU,62,44,106,10,12,18,22,0,30:07,52,26,23,3,199,863,4.3,6,103,468,4.5,3,91,45,395,2,4,4.3,8.8,49.5,50.39,40,11,27.5,8,3,37.5,10,4,0,0,14,133,2,2,5,35,12,21,13,632,48.6,6,10,4,13,24,7,0,0,30:53,56,16,36,4,189,903,4.8,6,75,196,2.6,1,103,74,707,5,5,6.9,9.6,71.8,86.51,38,13,34.2,3,1,33.3,5,3,0,0,16,106,5,5,11,76,12,8,15,732,48.8,10,6,-4,40.0,0,60.0,0,4,4,0,4,1,0,0,6,6,5,5,1,0,0,0,0,2,1,142,51,11,77,13,4,5,136,67,5,37,17,2,3,3,13
2,2021,IND,60,45,105,9,16,3,32,0,34:08,59,21,33,5,207,1066,5.1,4,98,368,3.8,3,105,68,698,1,4,6.6,10.3,64.8,71.05,48,22,45.8,1,0,0,10,3,0,0,18,133,2,2,4,31,16,12,12,555,46.2,6,3,-3,17,22,3,3,0,26:52,35,9,24,2,170,803,4.7,4,69,306,4.4,1,95,53,497,2,1,5.2,9.4,55.8,73.00,43,13,30.2,5,2,40.0,7,3,0,0,21,152,2,2,6,31,15,15,15,725,48.3,3,6,3,30.0,0,42.9,0,2,2,0,0,0,2,2,10,10,4,3,0,0,0,0,0,8,6,112,64,6,31,11,3,2,151,74,4,31,22,2,3,3,14
1,2021,IND,451,365,816,107,128,109,107,0,32:04,354,154,167,33,1052,5901,5.6,52,499,2540,5.1,22,521,324,3361,27,8,6.5,10.4,62.2,91.66,210,86,41.0,29,18,62.1,64,36,0,0,76,688,11,11,32,227,86,56,59,2627,44.5,19,33,14,69,83,57,147,9,29:34,334,101,213,20,1050,5834,5.6,43,420,1854,4.4,10,597,390,3980,32,19,6.7,10.2,65.3,88.91,210,85,40.5,21,12,57.1,53,34,0,0,109,978,14,14,33,223,109,76,60,2750,45.8,33,19,-14,56.2,0,64.2,0,47,46,0,9,2,0,0,35,29,34,31,0,10,3,2,2,27,22,768,335,33,226,69,18,16,736,412,32,227,70,15,12,17,14
1,2021,JAX,253,457,710,48,82,44,79,0,27:22,304,92,178,34,1028,5191,5.0,29,392,1755,4.5,14,604,361,3436,12,17,5.7,9.5,59.8,70.49,212,76,35.8,31,18,58.1,39,20,0,0,104,856,12,12,32,238,83,63,71,3337,47,29,9,-20,119,129,116,93,0,33:38,351,124,198,29,1068,6002,5.6,52,493,2127,4.3,22,543,377,3875,24,7,7.1,10.3,69.4,99.04,221,95,43.0,21,14,66.7,61,38,0,0,104,879,2,2,32,236,85,60,64,2882,45.0,9,29,20,51.3,0,62.3,0,22,18,0,11,2,0,0,27,21,50,47,2,3,1,0,0,36,32,727,426,32,236,50,9,3,645,403,31,238,78,17,14,17,15
2,2021,JAX,68,60,128,7,13,7,41,0,32:38,68,13,49,6,210,1165,5.5,8,60,180,3,1,144,99,985,7,3,6.8,9.9,68.8,95.40,44,21,47.7,3,1,33.3,12,7,0,0,18,134,0,0,6,33,14,9,12,583,48.6,3,0,-3,17,20,9,14,0,28:22,58,11,44,3,193,1001,5.2,7,68,180,2.6,0,122,76,821,7,0,6.7,10.8,62.3,101.16,41,16,39.0,6,3,50.0,7,4,0,0,15,130,0,0,3,22,9,7,16,772,48.2,0,3,3,58.3,0,57.1,0,6,6,0,4,1,0,0,6,4,7,6,0,0,0,0,0,5,4,135,47,3,22,14,1,0,142,70,6,26,16,2,1,3,15
2,2021,KC,64,51,115,24,14,17,9,0,32:54,67,20,44,3,206,1111,5.4,8,74,282,3.8,1,125,86,829,7,4,6.6,9.6,68.8,92.38,41,17,41.5,4,4,100,10,6,0,0,20,158,1,1,7,32,16,13,14,663,47.4,5,5,0,9,3,10,29,0,28:06,54,21,28,5,184,1043,5.7,6,74,394,5.3,3,98,60,649,2,3,6.6,10.8,61.2,74.74,41,13,31.7,2,1,50.0,7,2,0,0,17,150,2,2,12,81,15,10,17,823,48.4,5,5,0,60.0,0,28.6,0,8,7,0,0,0,0,0,4,3,5,4,0,2,1,0,0,4,3,127,60,12,81,18,5,2,129,73,7,32,14,0,1,3,16
3,2021,KC,108,84,192,14,42,23,23,6,32:07,80,19,57,4,205,1405,6.9,14,73,427,5.8,2,123,90,978,12,3,8.0,10.9,73.2,118.55,37,22,59.5,1,1,100,14,10,0,0,6,46,1,1,9,81,10,11,10,435,43.5,4,2,-2,10,21,25,25,3,31:11,63,20,41,2,195,1038,5.3,10,71,281,4.0,1,119,79,757,8,1,6.4,9.6,66.4,102.82,44,21,47.7,6,6,100,10,6,0,0,11,90,1,1,5,37,16,15,14,644,46,2,4,2,71.4,0,60.0,0,13,12,0,0,0,0,0,5,4,8,8,0,4,2,0,0,4,4,122,80,5,37,12,2,1,136,76,9,81,9,3,1,3,16
1,2021,KC,480,364,844,130,124,91,129,6,31:58,419,119,267,33,1134,6746,5.9,57,431,1955,4.5,16,675,448,4791,37,13,7.1,10.7,66.4,97.21,205,107,52.2,15,10,66.7,68,41,0,0,111,925,12,12,28,146,91,55,40,1868,46.7,25,29,4,66,135,50,113,0,29:07,363,121,209,33,1060,6272,5.9,44,419,1999,4.8,16,610,401,4273,27,15,7.0,10.7,65.7,90.56,199,80,40.2,31,19,61.3,56,32,0,0,116,911,14,14,31,209,89,52,52,2502,48.1,29,25,-4,60.3,0,57.1,0,53,50,0,4,1,1,1,32,28,39,36,0,8,1,1,1,24,20,689,368,31,209,69,18,15,718,403,28,146,51,16,14,17,16
1,2021,LAC,474,459,933,81,157,52,181,3,30:30,401,112,256,33,1128,6634,5.9,58,423,1834,4.3,18,674,443,4800,38,15,7.1,10.8,65.7,96.05,221,100,45.2,34,22,64.7,75,48,0,0,116,1033,7,7,31,214,88,65,47,2123,45.2,22,21,-1,75,115,84,173,12,31:09,383,144,199,40,1103,6122,5.6,52,509,2361,4.6,22,559,357,3761,27,11,6.7,10.5,63.9,91.24,216,107,49.5,22,7,31.8,67,43,0,0,99,835,10,10,35,231,103,65,46,2104,45.7,21,22,1,64.0,0,64.2,0,47,40,0,18,6,1,1,27,24,44,43,0,11,3,1,1,35,32,742,427,35,229,55,19,10,720,407,31,214,88,9,6,17,29
2,2021,LAC,23,48,71,3,13,7,0,0,29:22,42,14,23,5,172,580,3.4,2,65,208,3.2,1,95,65,372,1,1,3.9,5.7,68.4,74.54,39,13,33.3,3,2,66.7,6,2,0,0,29,268,1,1,12,86,13,12,17,798,46.9,2,4,2,14,17,10,7,0,31:38,50,17,22,11,182,763,4.2,6,93,347,3.7,1,84,56,416,4,3,5.0,7.4,66.7,79.27,42,15,35.7,4,3,75.0,8,5,0,0,26,228,1,1,5,19,19,19,15,682,45.5,4,2,-2,33.3,0,62.5,0,2,2,0,0,0,0,0,4,3,6,4,0,0,0,0,0,3,2,125,81,5,19,6,1,1,118,66,12,86,7,1,1,3,29
3,2021,LAR,107,75,182,24,37,17,29,0,34:05,83,16,59,8,269,1512,5.6,12,120,326,2.7,2,142,99,1186,9,3,8.4,12.0,69.7,107.31,57,27,47.4,2,1,50.0,18,10,0,0,14,113,4,4,7,42,25,20,16,712,44.5,7,5,-2,6,17,35,17,0,26:55,65,17,44,4,236,1129,4.8,8,72,241,3.3,3,152,88,888,5,4,5.8,10.1,57.9,74.67,46,9,19.6,9,4,44.4,8,5,0,0,21,196,1,1,12,79,25,27,20,901,45.0,5,7,2,55.6,0,62.5,0,11,11,0,2,0,0,0,10,8,7,7,0,2,1,0,0,7,6,145,85,12,79,23,1,1,182,110,7,42,9,3,4,4,32
1,2021,LAR,460,372,832,63,155,113,129,0,29:03,355,99,233,23,1058,6325,6.0,52,420,1683,4.0,10,607,406,4642,41,18,7.6,11.4,66.9,99.85,205,90,43.9,19,10,52.6,70,42,0,0,76,637,5,5,31,251,95,85,51,2252,44.2,23,25,2,51,123,91,104,3,31:26,347,111,214,22,1118,5863,5.2,40,443,1754,4.0,18,625,416,4109,17,19,6.6,9.9,66.6,81.34,223,92,41.3,32,17,53.1,56,29,0,0,88,688,6,6,50,367,80,50,62,2858,46.1,25,23,-2,60.0,0,51.8,0,49,48,0,6,2,0,0,34,32,36,36,0,6,2,1,1,34,30,746,444,49,365,71,14,6,696,389,31,251,70,7,6,17,32
2,2021,LAR,34,47,81,3,22,3,6,0,32:51,53,18,28,7,190,814,4.3,3,76,306,4.0,0,110,67,508,3,2,4.6,7.6,60.9,73.60,44,13,29.5,10,6,60.0,8,3,0,0,21,162,0,0,4,28,11,11,13,622,47.8,2,4,2,13,10,17,7,0,28:09,48,22,25,1,167,746,4.5,5,81,309,3.8,2,80,52,437,3,3,5.5,8.4,65.0,75.89,37,14,37.8,4,4,100,7,4,0,0,13,135,1,1,6,48,16,9,14,703,50.2,4,2,-2,37.5,0,57.1,0,2,1,0,2,0,0,0,7,5,5,5,0,0,0,0,0,4,4,102,85,6,48,13,2,1,139,56,4,28,17,1,0,3,32
1,2021,LV,374,439,813,66,98,94,95,21,31:00,349,95,217,37,1082,6184,5.7,37,414,1617,3.9,14,628,429,4567,23,14,7.3,10.6,68.3,92.23,206,77,37.4,19,12,63.2,60,31,0,0,124,1104,10,10,40,241,113,65,64,3202,50.0,24,15,-9,86,127,49,171,6,31:52,349,109,202,38,1103,5732,5.2,51,462,1943,4.2,18,606,400,3789,29,6,6.3,9.5,66.0,94.97,230,91,39.6,29,21,72.4,43,35,0,0,99,1021,9,9,35,207,92,59,68,3173,46.7,15,24,9,51.7,0,81.4,0,33,30,0,5,0,0,0,43,40,46,44,0,9,4,0,0,33,27,715,449,35,207,73,13,11,707,449,40,242,64,20,10,17,25
2,2021,LV,47,57,104,14,9,10,14,0,31:31,51,21,29,1,180,826,4.6,5,78,300,3.8,3,92,63,526,2,4,5.7,8.3,68.5,72.10,38,16,42.1,3,3,100,7,4,0,0,14,140,0,0,10,67,6,9,15,677,45.1,4,1,-3,7,23,21,6,0,29:29,57,27,24,6,183,900,4.9,7,89,439,4.9,4,92,54,461,3,1,5.0,8.5,58.7,78.22,37,9,24.3,10,8,80.0,9,5,0,0,20,151,0,0,2,14,15,15,13,658,50.6,1,4,3,57.1,0,55.6,0,5,5,0,0,0,0,0,4,4,6,6,0,2,0,0,0,5,3,130,60,2,18,16,0,0,125,75,10,67,13,2,0,3,25
3,2021,LV,19,26,45,3,10,0,6,0,28:09,23,4,15,4,71,385,5.4,1,14,103,7.4,0,54,29,282,1,1,5.2,9.7,53.7,67.05,18,8,44.4,2,1,50.0,5,1,0,0,7,46,1,1,3,28,5,5,2,99,49.5,2,0,-2,10,10,3,3,0,31:51,18,4,14,0,61,308,5.0,2,25,83,3.3,0,34,24,225,2,0,6.6,9.4,70.6,108.09,12,5,41.7,1,1,100,5,2,0,0,7,56,0,0,2,19,3,3,2,90,45,0,2,2,20.0,0,40.0,0,1,1,0,0,0,0,0,4,4,2,2,0,0,0,0,0,4,4,38,38,2,19,2,0,0,42,22,3,28,9,1,1,1,25
2,2021,MIA,79,63,142,17,24,16,22,0,33:05,68,21,43,4,191,1136,5.9,10,87,323,3.7,4,97,68,813,6,2,8.4,12.0,70.1,107.45,35,19,54.3,5,2,40.0,11,7,0,0,11,107,1,1,7,36,6,8,9,447,49.7,3,1,-2,3,16,21,23,0,27:55,50,22,25,3,167,1005,6.0,7,84,478,5.7,4,79,47,527,3,1,6.7,11.2,59.5,86.84,36,13,36.1,6,4,66.7,7,4,0,0,24,173,0,0,4,23,16,13,12,640,53.3,1,3,2,63.6,0,57.1,0,9,9,0,2,1,0,0,3,2,6,6,0,2,0,0,0,5,5,117,64,4,23,13,2,0,140,68,8,36,16,1,2,3,19
1,2021,MIA,341,373,714,93,68,55,122,3,31:31,325,87,206,32,1097,5219,4.8,39,442,1568,3.5,12,615,404,3651,21,14,5.9,9.0,65.7,83.46,233,95,40.8,22,12,54.5,49,30,0,0,105,825,12,12,40,285,128,73,78,3489,44.7,26,26,0,63,103,61,140,6,30:04,337,106,199,32,1081,5738,5.3,40,425,1867,4.4,16,608,373,3871,23,14,6.4,10.4,61.3,82.75,231,95,41.1,18,11,61.1,57,30,0,0,109,991,12,12,48,380,87,60,74,3308,44.7,26,26,0,61.2,0,52.6,0,35,34,0,6,2,0,0,31,23,39,38,0,1,0,0,0,37,31,700,400,47,376,91,14,14,739,409,39,278,68,16,12,17,19
1,2021,MIN,425,426,851,86,115,112,106,6,30:37,332,103,202,27,1083,6168,5.7,48,449,1930,4.3,10,604,398,4238,34,7,7.0,10.6,65.9,100.17,228,83,36.4,22,12,54.5,53,33,0,0,111,1043,6,6,30,212,99,61,78,3624,46.5,13,24,11,53,146,102,119,6,32:47,391,131,224,36,1152,6522,5.7,46,475,2222,4.7,15,626,401,4300,29,16,6.9,10.7,64.1,88.88,214,78,36.4,30,15,50.0,59,33,0,0,93,786,8,8,51,378,97,86,64,3000,46.9,24,13,-11,62.3,0,55.9,0,40,36,0,9,0,1,1,38,33,38,38,0,12,5,0,0,40,34,764,444,51,378,68,13,9,754,362,29,210,67,17,6,17,20
2,2021,MIN,41,73,114,13,6,7,15,0,28:53,46,20,21,5,185,883,4.8,4,82,366,4.5,2,98,51,517,0,2,5.3,10.1,52.0,58.93,40,9,22.5,5,1,20.0,6,1,0,0,21,175,1,1,5,27,11,10,16,722,45.1,3,4,1,26,27,17,3,0,32:07,61,16,37,8,193,1070,5.5,8,86,291,3.4,0,104,66,779,7,3,7.5,11.8,63.5,96.59,40,18,45.0,3,1,33.3,8,4,0,0,17,153,1,1,3,20,13,9,14,622,44.4,4,3,-1,16.7,0,50.0,0,3,3,0,2,1,0,0,6,4,8,8,0,0,0,0,0,5,5,125,62,3,20,16,1,2,112,72,5,27,20,1,1,3,20
3,2021,NE,17,47,64,0,3,7,7,0,28:35,20,5,13,2,61,305,5,2,20,89,4.4,0,38,24,216,2,2,5.7,9,63.2,74.01,14,7,50.0,4,4,100,2,2,0,0,5,34,0,0,3,16,1,0,3,142,47.3,2,0,-2,14,13,6,14,0,31:25,29,14,13,2,54,482,8.9,7,29,174,6,2,25,21,308,5,0,12.3,14.7,84.0,157.58,7,6,85.7,0,0,0,6,6,0,0,3,47,0,0,0,0,5,3,0,0,0,0,2,2,100,0,100,0,2,2,0,0,0,0,0,1,1,7,5,2,0,0,0,0,0,0,40,16,0,0,1,0,0,45,22,3,16,4,0,0,1,21
1,2021,NE,462,303,765,77,143,77,165,0,31:39,362,139,187,36,1052,6008,5.7,51,489,2151,4.4,24,535,364,3857,24,13,7.2,10.6,68.0,93.65,209,91,43.5,17,11,64.7,63,39,0,0,95,854,10,10,28,241,86,60,49,2316,47.3,23,30,7,89,77,60,71,6,30:43,308,111,176,21,1038,5284,5.1,35,464,2103,4.5,9,538,319,3181,21,23,5.9,10.0,59.3,71.33,211,77,36.5,32,17,53.1,48,23,0,0,100,831,7,7,36,256,80,76,55,2580,46.9,30,23,-7,61.9,0,47.9,0,47,42,1,5,2,1,1,39,36,30,27,0,5,0,0,0,33,22,724,399,36,255,88,11,7,756,353,27,239,62,13,11,17,21
2,2021,NE,79,33,112,19,12,29,19,0,30:21,68,28,35,5,185,1150,6.2,9,90,511,5.7,7,90,63,639,2,1,7.1,10.1,70.0,92.78,30,11,36.7,0,0,0,11,7,0,0,25,187,1,1,5,29,17,12,8,417,52.1,2,5,3,0,14,0,19,0,30:39,59,19,35,5,195,881,4.5,5,72,300,4.2,1,113,72,581,4,4,5.1,8.1,63.7,73.65,45,21,46.7,3,1,33.3,5,3,0,0,12,101,1,1,10,63,10,7,15,689,45.9,5,2,-3,63.6,0,60.0,0,7,4,0,3,0,0,0,9,7,3,3,0,4,0,0,0,3,0,135,64,10,63,18,2,1,129,76,5,29,8,1,1,3,21
5,2021,NFC,35,41,76,13,8,0,14,0,,18,3,14,1,65,287,4.4,5,8,1,0.1,0,54,33,286,4,4,5.3,8.7,61.1,68.90,12,4,33.3,11,3,27.3,6,4,0,0,0,0,1,1,3,17,4,4,0,0,0,5,3,-2,14,14,13,0,0,,19,6,13,0,63,315,5,6,21,52,2.5,1,38,25,263,3,3,6.9,10.5,65.8,79.17,11,5,45.5,9,2,22.2,5,4,0,0,2,10,0,0,4,15,2,5,0,0,0,3,5,2,66.7,0,80.0,0,3,3,0,4,1,0,0,0,0,3,3,0,4,1,0,0,0,0,33,24,4,15,6,1,1,34,15,3,17,16,1,1,1,37
2,2021,NO,37,38,75,14,17,6,0,0,27:10,39,6,30,3,122,735,6.0,5,39,157,4.0,1,78,48,578,4,3,7.4,12.0,61.5,85.31,21,7,33.3,1,0,0,4,3,0,0,16,104,3,3,5,45,10,7,11,502,45.6,6,3,-3,0,12,0,26,0,33:50,44,12,28,4,150,721,4.8,3,54,194,3.6,1,92,59,527,2,2,5.7,8.9,64.1,77.58,35,17,48.6,2,0,0,8,2,0,0,13,110,1,1,4,21,15,5,10,457,45.7,3,6,3,75.0,0,25.0,0,5,4,0,0,0,0,0,1,1,1,1,0,2,1,1,1,6,5,108,49,4,21,13,1,1,82,34,5,45,12,3,3,2,22
1,2021,NO,364,335,699,40,116,46,162,0,31:38,307,113,165,29,1051,5177,4.9,43,510,1991,3.9,12,504,293,3186,29,13,6.3,10.9,58.1,85.30,220,78,35.5,21,11,52.4,56,33,0,0,98,811,5,5,37,251,113,88,83,3956,47.7,18,25,7,77,85,81,86,6,30:40,304,84,185,35,1064,5410,5.1,35,426,1589,3.7,12,592,369,3821,20,18,6.5,10.4,62.3,79.51,240,89,37.1,21,9,42.9,46,20,0,0,89,761,7,7,46,310,95,75,80,3644,45.6,25,18,-7,58.9,0,43.5,0,38,31,0,9,0,0,0,30,25,31,30,0,3,0,1,1,38,31,716,374,46,310,81,13,7,683,444,35,228,71,8,5,17,22
1,2021,NYG,258,416,674,36,64,43,109,6,29:43,299,90,171,38,1050,4884,4.7,24,419,1688,4.0,8,593,351,3196,15,20,5.4,9.1,59.2,68.24,230,84,36.5,30,13,43.3,38,17,0,0,88,674,10,10,38,267,79,53,74,3283,44.4,30,22,-8,57,153,85,121,0,32:35,365,126,216,23,1137,6032,5.3,45,492,2193,4.5,15,611,402,3839,27,15,6.3,9.5,65.8,87.59,226,90,39.8,23,15,65.2,71,37,0,0,107,814,7,7,34,205,105,78,67,2912,43.5,22,30,8,44.7,0,52.1,0,17,17,0,4,1,3,3,33,29,44,42,0,2,0,0,0,38,34,725,548,34,205,84,12,9,679,399,37,260,86,17,10,17,23
2,2021,NYG,40,51,91,7,7,0,26,0,27:39,50,16,27,7,168,822,4.9,6,63,321,5.1,1,94,55,501,5,2,5.3,9.1,58.5,81.91,38,14,36.8,5,3,60.0,6,4,0,0,12,95,1,1,11,67,12,12,17,748,44,3,3,0,13,3,27,8,0,33:21,66,25,37,4,192,1030,5.4,5,83,377,4.5,3,101,68,653,2,2,6.5,9.6,67.3,83.48,36,11,30.6,3,2,66.7,8,5,0,0,20,134,1,1,8,47,23,13,11,517,47,3,3,0,66.7,0,62.5,0,4,4,0,3,0,0,0,1,0,4,4,0,1,0,0,0,7,5,121,96,8,47,10,4,1,95,79,11,67,13,1,1,3,23
2,2021,NYJ,66,52,118,13,17,20,16,0,35:10,56,22,33,1,198,978,4.9,7,102,367,3.6,2,91,61,611,5,1,6.7,10.0,67.0,99.66,46,19,41.3,4,3,75.0,8,5,0,0,17,136,2,2,5,27,17,13,12,569,47.4,3,5,2,21,14,3,14,0,25:50,46,15,23,8,158,820,5.2,7,71,340,4.8,2,79,49,480,4,2,6.1,9.8,62.0,85.42,33,13,39.4,5,2,40.0,6,4,0,0,10,74,3,3,8,49,11,11,14,591,42.2,5,3,-2,62.5,0,66.7,0,5,5,0,2,0,1,1,6,5,7,7,0,0,0,0,0,1,1,113,63,8,49,11,4,2,133,98,5,26,8,5,2,3,24
1,2021,NYJ,310,504,814,59,84,59,105,3,28:51,310,87,195,28,1036,5208,5.0,36,380,1667,4.4,14,603,357,3541,20,20,5.9,9.9,59.2,73.12,212,77,36.3,29,14,48.3,51,28,0,0,102,859,7,7,53,418,88,71,70,3274,46.8,27,14,-13,98,170,87,149,0,33:44,401,129,234,38,1145,6760,5.9,58,525,2351,4.5,29,587,401,4409,28,7,7.5,11.0,68.3,101.24,223,99,44.4,21,13,61.9,74,45,0,0,84,814,7,7,33,273,102,86,59,2475,41.9,14,27,13,54.9,0,60.8,0,27,23,1,12,2,2,2,27,21,53,50,0,5,1,1,1,39,36,768,447,31,259,60,13,7,690,317,53,422,84,13,8,17,24
1,2021,PHI,444,385,829,89,104,112,139,0,30:55,352,163,167,22,1075,6119,5.7,50,550,2715,4.9,25,494,307,3404,20,10,6.9,11.1,62.1,87.64,221,101,45.7,24,11,45.8,61,38,0,0,107,842,6,6,31,181,83,70,55,2416,43.9,16,16,0,100,111,53,121,0,30:05,358,115,208,35,1076,5590,5.2,47,458,1834,4.0,18,589,409,3756,28,12,6.4,9.2,69.4,93.88,217,93,42.9,29,14,48.3,60,40,0,0,92,824,4,4,29,220,70,59,62,2744,44.3,16,16,0,62.3,0,66.7,0,44,44,0,7,3,2,2,33,30,43,36,0,8,1,0,0,24,21,670,506,29,220,56,13,4,718,407,30,172,73,12,6,17,26
2,2021,PHI,47,90,137,24,13,3,7,0,22:00,44,12,27,5,147,819,5.6,5,53,234,4.4,1,86,52,585,3,4,6.8,11.2,60.5,73.06,27,5,18.5,3,1,33.3,3,1,0,0,15,135,2,2,8,47,8,12,13,641,49.3,6,4,-2,20,16,34,20,0,38:00,80,34,42,4,225,1290,5.7,12,122,534,4.4,7,99,72,756,5,2,7.6,10.5,72.7,102.93,43,24,55.8,3,3,100,13,8,0,0,19,162,2,2,4,22,15,9,8,373,46.6,4,6,2,33.3,0,61.5,0,5,5,0,0,0,0,0,4,4,9,7,0,4,0,1,1,4,3,164,80,4,21,12,3,2,102,47,8,47,13,4,1,3,26
3,2021,PHI,15,31,46,0,0,0,15,0,26:57,14,3,10,1,62,339,5.5,2,17,95,5.6,1,43,23,244,1,2,5.7,10.6,53.5,58.67,14,5,35.7,3,1,33.3,1,1,0,0,4,45,1,1,2,14,6,8,6,252,42,3,0,-3,14,3,14,0,0,33:03,23,8,14,1,72,349,4.8,4,31,106,3.4,2,37,29,243,2,0,6.6,8.4,78.4,112.05,13,4,30.8,1,0,0,5,3,0,0,4,35,0,0,4,28,10,6,7,341,48.7,0,3,3,100,0,60.0,0,1,1,0,2,1,0,0,0,0,4,4,0,0,0,0,0,1,1,50,40,4,28,2,0,0,42,11,2,14,7,1,1,1,26
3,2021,PIT,21,42,63,0,7,7,7,0,30:00,19,3,15,1,66,257,3.9,3,20,56,2.8,0,44,29,201,2,0,4.6,6.9,65.9,91.19,16,7,43.8,2,2,100,3,2,0,0,4,45,1,1,2,14,7,8,7,348,49.7,1,2,1,0,21,14,7,0,30:00,26,6,19,1,65,478,7.4,6,22,106,4.8,0,40,31,372,6,1,9.3,12,77.5,134.58,12,8,66.7,0,0,0,4,4,0,0,3,25,1,1,3,34,4,4,4,138,34.5,2,1,-1,66.7,0,100,0,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,47,18,3,34,4,1,1,46,22,2,14,2,1,1,1,28
2,2021,PIT,75,73,148,14,13,29,19,0,32:02,72,22,47,3,250,1282,5.1,8,119,390,3.3,3,127,87,892,5,2,7.0,10.3,68.5,95.00,56,26,46.4,3,2,66.7,13,6,0,0,16,133,3,3,4,25,26,15,17,753,44.3,5,5,0,16,20,7,30,0,28:58,75,19,49,7,240,1316,5.5,8,85,394,4.6,4,146,86,922,4,3,6.3,10.7,58.9,78.05,49,14,28.6,7,4,57.1,8,5,0,0,23,181,2,2,9,56,10,16,17,874,51.4,5,5,0,46.2,0,62.5,0,8,6,0,0,0,0,0,8,7,7,7,0,2,0,0,0,9,6,164,71,9,56,14,3,2,172,80,3,25,13,2,2,4,28
1,2021,PIT,343,398,741,37,77,54,169,6,30:00,323,85,204,34,1113,5361,4.8,34,411,1583,3.9,10,664,425,3778,23,11,5.7,8.9,64.0,83.77,239,93,38.9,21,10,47.6,50,27,0,0,106,831,9,9,38,239,106,94,77,3347,43.5,20,22,2,66,123,100,109,0,31:29,354,144,186,24,1116,6139,5.5,43,498,2483,5.0,17,563,355,3656,24,13,6.5,10.3,63.1,86.28,232,86,37.1,24,13,54.2,59,30,0,0,123,1017,9,9,55,321,74,71,76,3473,45.7,22,20,-2,54.0,0,50.8,0,29,27,0,10,2,0,0,40,36,41,38,0,4,0,0,0,38,34,792,402,55,322,81,18,10,769,423,37,236,82,13,10,17,28
